,popularity,budget,vote_average,Tomatoes,Profit_Margin,Success
The Ledge,4.883085,10000000,5.9,35,-15.36698713,0
Six-String Samurai,2.740989,2000000,5.8,57,-15.06503125,0
The Music Never Stopped,13.504065,4000000,7.3,67,-14.754296,0
Space Truckers,3.596317,25000000,5.6,15,-14.4869148,0
The Extra Man,3.18614,7000000,5.9,41,-14.44984429,0
Closet Land,1.456755,4000000,6.6,44,-14.44329992,0
While She Was Out,9.002146,6000000,4.8,38,-14.32919445,0
Parkland,6.71518,10000000,5.8,50,-14.29868385,0
Things to Do in Denver When You're Dead,4.486179,8000000,6.7,34,-14.10100686,0
Seraphim Falls,5.034585,18000000,6.4,55,-14.046305,0
Akira,10.888917,8000000,7.8,91,-13.46207411,0
Meet Bill,6.226054,5000000,5.9,20,-13.4261841,0
The Messengers,9.629399,16000000,5.6,11,-13.41883099,0
The Adventures of Pluto Nash,8.903754,100000000,4.4,5,-13.07663008,0
Antichrist,7.769607,11000000,6.4,54,-12.89122163,0
Monkeybone,8.893957,75000000,4.2,20,-12.86445407,0
The Monk,8.888718,11000000,5.8,65,-12.62170061,0
Prefontaine,2.93818,8000000,6.7,56,-12.57533633,0
Hard Eight,7.04756,3000000,6.8,82,-12.47957171,0
A Sound of Thunder,4.980191,80000000,4.8,6,-12.35639538,0
Mr. Nobody,11.817059,47000000,7.9,68,-12.24985362,0
Aferim!,2.214179,1379375,7.5,98,-12.12477997,0
Beowulf,7.745765,20000000,4.4,71,-12.06121596,0
The Lure,2.159038,1300000,6.1,69,-11.78810116,0
Ballerina,16.53732,30000000,7.1,75,-11.75857919,0
The Mudge Boy,7.137026,800000,7.3,77,-11.72831413,0
Heaven's Gate,4.393576,44000000,6.5,59,-11.62796215,0
Passengers,6.274736,25000000,5.7,19,-11.5,0
Bottle Rocket,6.904831,7000000,6.8,85,-11.49846001,0
Frankenhooker,5.097791,2500000,5.7,57,-11.19107808,0
Man of Tai Chi,11.829231,25000000,5.8,71,-11.16579941,0
The Sheltering Sky,13.798247,25000000,6.4,48,-11.04770506,0
Love,2.328321,3000000,5.2,60,-11.04417805,0
Bombay Velvet,1.377993,18000000,5.4,44,-11,0
Isn't She Great,0.907927,36000000,4.6,25,-10.98683047,0
Nobel Son,2.420823,4000000,6.4,26,-10.9792041,0
Death of a President,4.028906,2000000,5.7,39,-10.9760479,0
Marci X,4.15656,20000000,3.3,8,-10.93526788,0
Machine Gun Preacher,5.87767,30000000,6.4,28,-10.86753927,0
Josh and S.A.M.,0.768367,18000000,5,25,-10.7788482,0
Princess Kaiulani,1.818296,9000000,4.8,21,-10.66560164,0
Casino Jack,8.5508,12500000,6,39,-10.53473848,0
The Hand,2.12989,6500000,5.7,29,-10.46918495,0
The Face of Love,2.999052,4000000,5.9,43,-10.42837551,0
Infamous,5.169999,13000000,6.4,21,-10.2912892,0
3 Generations,4.626438,5000000,6.1,33,-10.26222515,0
Another Happy Day,3.496577,4000000,6.2,46,-10.24581094,0
The Zero Theorem,10.990614,8500000,5.9,48,-10.02884887,0
The Treatment,2.78291,900000,6,93,-9.882576994,0
Jimmy Vestvood: Amerikan Hero,1.216497,2500000,5.4,83,-9.866305326,0
Veronica Guerin,9.548519,17000000,6.8,53,-9.828591047,0
Me and Orson Welles,3.600917,25000000,6.6,85,-9.701266859,0
Behind the Burly Q,0.386717,250000,5.5,78,-9.478226246,0
BloodRayne,6.514132,25000000,3.6,4,-9.393195367,0
The City of Lost Children,9.822423,18000000,7.6,80,-9.35309221,0
Meet the Applegates,0.399156,5000000,5,9,-9.292894609,0
Son of the Pink Panther,3.372523,25000000,3.8,6,-9.254176424,0
The Iceman,13.132127,20000000,6.4,66,-9.156444797,0
Shooting Fish,1.631288,3000000,7,57,-8.927069132,0
Renaissance,9.746725,18000000,6.7,49,-8.828825543,0
Cutthroat Island,7.284477,98000000,5.7,39,-8.783053794,0
Black Dynamite,10.92143,2900000,7.3,83,-8.778895794,0
The Wild Bunch,11.722424,6244087,7.7,91,-8.777147098,0
Love in the Time of Cholera,5.20735,45000000,6.5,27,-8.766455827,0
The Innkeepers,8.560726,750000,5.4,79,-8.566814633,0
Steel,2.890462,16000000,4.2,12,-8.487502883,0
Silent Fall,3.034244,30000000,5.2,26,-8.431963163,0
Down in the Valley,11.448612,8000000,6,52,-8.380071101,0
Vanishing on 7th Street,8.419427,10000000,4.8,50,-8.357320513,0
The Paperboy,5.526878,12500000,5.4,45,-8.232805562,0
Leaves of Grass,9.954095,9000000,5.9,61,-8.135970651,0
One Night Stand,2.818802,24000000,5.7,34,-8.080648646,0
Cats Don't Dance,3.406836,32000000,7.1,74,-7.972037244,0
Little Monsters,6.256969,7000000,5.6,44,-7.818619886,0
Battle in Seattle,4.518646,8000000,6.3,56,-7.802361674,0
Snow Cake,11.556057,12000000,7.3,64,-7.685173323,0
My Name Is Bruce,8.708789,1500000,5.9,38,-7.667213664,0
The Time That Remains,0.635053,6500000,6.3,86,-7.622885403,0
Undiscovered,1.494688,9000000,4.5,8,-7.602841232,0
Birdy,16.243093,12000000,6.9,80,-7.571428571,0
Human Nature,7.714094,6000000,6.1,48,-7.506921799,0
Roar,1.307263,17000000,5.6,72,-7.5,0
Chicken with Plums,3.78207,12000000,6.8,74,-7.401649244,0
Waterloo,3.240624,25000000,7.1,27,-7.191349934,0
Surviving Picasso,2.167132,16000000,5.3,35,-7.06044934,0
Vulgar,1.62632,120000,5.3,23,-7.051529791,0
Happy Times,0.653271,1900000,6.4,63,-6.913600147,0
I Saw the Light,4.654312,13000000,5.9,19,-6.894155168,0
Open Your Eyes,8.842959,2900000,7.4,87,-6.875427038,0
The Great Raid,14.987902,80000000,6.8,38,-6.868979911,0
A Dirty Shame,7.665431,15000000,5.4,53,-6.836310957,0
White God,6.313465,2200000,6.6,87,-6.791527068,0
Super,8.309635,2500000,6.6,49,-6.712764316,0
Winter in Wartime,3.92107,4000000,6.8,75,-6.546486356,0
The TV Set,4.681832,2000000,6,64,-6.541535004,0
Radio Flyer,5.618237,35000000,6.6,35,-6.523682942,0
Things to Come,5.858112,2100000,6.5,99,-6.436734636,0
Gigli,11.415316,54000000,3.5,6,-6.431660719,0
"First Love, Last Rites",0.546143,300000,3,40,-6.39973361,0
Fur: An Imaginary Portrait of Diane Arbus,5.108321,16800000,5.8,32,-6.364903342,0
Seven Samurai,15.01777,2000000,8.2,100,-6.357241917,0
Ondine,4.757269,12000000,6.5,70,-6.295919453,0
Little Buddha,5.681522,35000000,6,65,-6.204404814,0
Coriolanus,6.914615,7700000,5.9,92,-6.17880444,0
Outlander,14.611182,50000000,6.1,35,-6.108651328,0
Like Dandelion Dust,1.659692,2500000,6.7,82,-6.085966951,0
A Home of Our Own,4.497919,12000000,7,50,-6.045222106,0
The Pebble and the Penguin,2.304986,28000000,5.2,18,-6.028267693,0
Zabriskie Point,6.258456,7000000,7.1,68,-6,0
Beastmaster 2: Through the Portal of Time,4.038283,6000000,4.6,20,-5.901906652,0
Razorback,1.822979,5500000,5.6,58,-5.866416979,0
Appleseed,8.278525,10000000,6.8,25,-5.839996744,0
Party Monster,3.007842,5000000,5.9,29,-5.730399059,0
Ten Canoes,1.372493,2000000,6.7,98,-5.666666667,0
The Private Life of Sherlock Holmes,4.127728,10000000,6.9,89,-5.666666667,0
The Signal,8.536786,4000000,5.8,59,-5.656725956,0
Farewell to the King,1.629224,16000000,5.9,55,-5.609065904,0
1492: Conquest of Paradise,11.618792,47000000,6.1,32,-5.535585079,0
Redacted,3.494388,5000000,6.2,45,-5.393028019,0
Bad Moon,2.661026,7000000,5.7,30,-5.363636364,0
Battle in Heaven,2.329513,1601792,5.6,50,-5.318033188,0
Oldboy,7.882353,30000000,5.9,82,-5.171541705,0
Tank Girl,7.602087,25000000,5.5,41,-5.150825625,0
Gun Shy,6.370105,10000000,5.4,26,-5.128055525,0
Idle Hands,6.851628,25000000,6.1,15,-5.020861079,0
Awake,7.076062,86000000,6.3,14,-4.983097749,0
Apartment Zero,3.927714,4000000,6.9,74,-4.963260353,0
Against the Ropes,1.381022,39000000,4.5,12,-4.896333388,0
5 Flights Up,9.383088,6000000,5.9,46,-4.877046314,0
Tough Guys Don't Dance,0.957019,5000000,4.8,39,-4.825808331,0
All the King's Men,7.991168,55000000,5.7,11,-4.819553424,0
Bullet to the Head,8.26008,55000000,5.2,45,-4.795678721,0
Solomon Kane,9.667535,45000000,5.6,67,-4.76184379,0
Sphere,7.124735,75000000,5.8,13,-4.72519084,0
Switchback,3.742824,37000000,5.8,31,-4.707943066,0
Beyond a Reasonable Doubt,5.1991,25000000,5.5,7,-4.696625524,0
The Bronze,5.353826,3500000,5.5,37,-4.683515855,0
99 Homes,6.60913,8000000,6.8,93,-4.666015311,0
Jefferson in Paris,1.596058,14000000,5.2,31,-4.658852061,0
What Maisie Knew,8.535611,6000000,7.4,87,-4.626032025,0
Losin' It,3.132019,7000000,4.5,18,-4.617341858,0
The Alamo,12.240901,145000000,5.8,52,-4.615810187,0
Things We Lost in the Fire,11.446274,16000000,6.7,65,-4.615725717,0
Osmosis Jones,6.405831,75000000,6,56,-4.515958735,0
Gimme Shelter,5.636855,7500000,6.4,28,-4.51507085,0
The Big Year,10.267905,41000000,5.6,42,-4.504548973,0
The Triplets of Belleville,8.35586,8000000,7.3,94,-4.413906702,0
The Good German,5.290831,32000000,5.9,34,-4.410058787,0
The Children of Huang Shi,14.622493,40000000,6.5,31,-4.405405405,0
London Boulevard,11.421915,25000000,5.7,37,-4.383165077,0
The Rover,6.561373,12250000,6.1,67,-4.336707003,0
The Invasion,5.228837,80000000,5.7,20,-4.308026785,0
Goya's Ghosts,5.91265,50000000,6.6,30,-4.292079387,0
Strange Days,11.223055,42000000,6.8,67,-4.276851921,0
The Neon Demon,13.410522,7000000,6.4,58,-4.250824379,0
eXistenZ,11.446138,15000000,6.7,74,-4.250791819,0
Mustang,6.49255,1300000,8,97,-4.2,0
Subway,8.066663,2000000,6.3,67,-4.119554394,0
Shadows and Fog,8.678022,14000000,7,52,-4.117462207,0
Rubber,5.305905,500000,5.7,68,-4.101155922,0
Jade,11.418917,50000000,5.1,13,-4.075312563,0
